Joke stem,Joke ending,Nonjoke ending,JokeQuestion,NonjokeQuestion
I let my accountant do my taxes because it saves time: last spring it saved me ten,years,days,jokequestion1,Nonjokequestion1
A replacement player hit a home run with my,girl,ball,jokequestion2,Nonjokequestion2
"I still miss my ex-wife, but I am improving my",aim,ego,jokequestion3,Nonjokequestion3
It is not hard to meet expenses: they are,everywhere,affordable,jokequestion4,Nonjokequestion4
"The last time a guy in a mask took all my money, I was in",surgery,shock,jokequestion5,Nonjokequestion5
"My mechanic could not fix my brakes, so he fixed my",horn,clutch,jokequestion6,Nonjokequestion6
A man who has lost ninety percent of his brain is called a,widower,zombie,jokequestion7,Nonjokequestion7
The only ones who want me for my body are,mosquitoes,losers,jokequestion8,Nonjokequestion8
"By the time Mary had her fourteenth child, she’d run out of names to call her",husband,offspring,jokequestion9,Nonjokequestion9
A device for finding furniture in the dark is a,shin,candle,jokequestion10,Nonjokequestion10
My doctor has never violated his oath: the oath he took years ago to become a,millionaire,practitioner,jokequestion11,Nonjokequestion11
The only place where you can find people who spend all their time minding their own business is the,cemetery,bank,jokequestion12,Nonjokequestion12
"It is hard to raise a family nowadays, especially in the",morning,country,jokequestion13,Nonjokequestion13
"I asked the hostess if she remembered me from the party last year, and she said that she never forgets a",dress,name,jokequestion14,Nonjokequestion14
"Everyone had so much fun jumping into the swimming pool, we decided to put in a little",water,platform,jokequestion15,Nonjokequestion15
A thoughtful wife has pork chops ready when her husband comes home from,hunting,work,jokequestion16,Nonjokequestion16
"Statistics indicate that Americans spend 80 million a year on games of chance, mostly",weddings,dice,jokequestion17,Nonjokequestion17
She read so much about the bad effects of smoking she decided she’d have to give up,reading,habit,jokequestion18,Nonjokequestion18
"I used to have a handle on life, but then it",broke,failed (?),jokequestion19,Nonjokequestion19